step	depth	row	col	cands	cs	val
672	21	9	6	1	44	1
673	19	9	4	1	50	9
674	20	7	9	1	35	9
675	17	7	8	1	45	8
676	18	9	8	1	28	7
677	19	9	4	2	50	8
678	20	9	5	2	47	1
679	21	9	6	1	45	3
680	23	8	3	1	30	8
681	26	3	6	1	42	8
682	27	6	7	2	42	1
683	28	7	6	1	44	7
684	31	4	7	1	27	7
685	27	6	7	1	42	2
686	28	7	6	1	44	6
687	31	4	6	1	43	7
688	20	9	5	1	47	3
689	21	9	6	1	45	1
690	22	7	3	1	46	1
691	23	8	3	1	30	8
692	25	3	6	1	42	8
693	26	5	7	2	48	1
694	26	5	7	1	49	2
695	27	6	7	1	42	1
696	31	2	4	1	42	4
697	19	9	4	1	50	9
698	20	8	3	1	30	9
699	10	8	8	1	43	6
700	11	8	7	1	42	7
701	12	9	7	3	43	2
702	13	7	7	2	42	3
703	13	7	7	1	43	4
704	14	6	8	1	42	5
705	17	7	8	2	45	3
706	18	9	8	1	28	8
707	21	5	7	2	49	3
708	22	4	7	1	28	6
709	23	7	5	2	45	1
710	23	7	5	1	46	5
711	24	9	9	1	27	5
712	28	9	4	2	50	7
713	29	7	4	1	42	6
714	28	7	4	1	43	7
715	29	6	2	1	45	8
716	31	7	1	1	45	8
717	21	5	7	1	49	6
718	22	4	7	1	28	3
719	25	7	5	2	46	1
720	25	7	5	1	47	5
721	26	5	5	1	42	8
722	17	7	8	1	45	8
723	18	9	8	1	28	3
724	19	9	4	2	50	8
725	20	9	5	2	47	1
726	21	7	1	1	46	9
727	25	7	9	1	36	5
728	20	9	5	1	47	5
729	21	9	6	1	45	1
730	24	7	3	1	46	1
731	19	9	3	1	47	8
732	20	9	4	2	50	7
733	21	7	9	1	37	5
734	23	6	7	1	42	6
735	25	5	7	2	49	1
736	26	4	7	1	28	3
737	27	9	5	2	47	1
738	28	3	2	1	43	1
739	27	9	5	1	47	4
740	28	9	6	1	45	1
741	29	3	2	1	44	1
742	25	5	7	1	49	3
743	26	4	7	1	28	1
744	27	9	5	2	47	1
745	28	9	6	1	45	4
746	30	4	6	1	44	5
747	32	1	3	1	44	9
748	36	3	4	1	41	1
